defined_class	defined_class_name	entity	entity_name	attribute	attribute_name	exact_synonyms	xrefs
OBA:1000083	nucleus length	GO:0005634	nucleus	PATO:0000122	length
OBA:1000084	cell surface texture	GO:0009986	cell surface	PATO:0000150	texture
OBA:1000085	nucleus width	GO:0005634	nucleus	PATO:0000921	width
OBA:1000086	cell surface quality	GO:0009986	cell surface	PATO:0000001	quality
OBA:1000087	cell surface morphology	GO:0009986	cell surface	PATO:0000051	morphology
OBA:1000088	plasma membrane quality	GO:0005886	plasma membrane	PATO:0000001	quality
OBA:1000089	plasma membrane morphology	GO:0005886	plasma membrane	PATO:0000051	morphology
OBA:1000090	membrane quality	GO:0016020	membrane	PATO:0000001	quality
OBA:1000091	membrane morphology	GO:0016020	membrane	PATO:0000051	morphology
OBA:1000092	dinoflagellate cingulum shape	GO:0097611	dinoflagellate cingulum	PATO:0000052	shape
OBA:1000093	dinoflagellate sulcus shape	GO:0097612	dinoflagellate sulcus	PATO:0000052	shape
OBA:1000094	chloroplast shape	GO:0009507	chloroplast	PATO:0000052	shape
OBA:1000095	chloroplast spatial pattern	GO:0009507	chloroplast	PATO:0000060	spatial pattern
OBA:1000096	chloroplast color	GO:0009507	chloroplast	PATO:0000014	color
OBA:1000097	chloroplast size	GO:0009507	chloroplast	PATO:0000117	size
OBA:1000098	dinoflagellate sulcus width	GO:0097612	dinoflagellate sulcus	PATO:0000921	width
OBA:1000099	appendage trait	UBERON:0000026	appendage	PATO:0000001	quality
OBA:1000100	paired fin trait	UBERON:0002534	paired fin	PATO:0000001	quality
OBA:1000101	axial skeleton plus cranial skeleton length	UBERON:0005944	axial skeleton plus cranial skeleton	PATO:0000122	length
OBA:1000102	vertebral column length	UBERON:0001130	vertebral column	PATO:0000122	length
OBA:1000103	cervical region of vertebral column length	UBERON:0006072	cervical region of vertebral column	PATO:0000122	length
OBA:1000104	subdivision of vertebral column length	UBERON:0006077	subdivision of vertebral column	PATO:0000122	length
OBA:1000105	tissue composition	UBERON:0000479	tissue	PATO:0000025	composition
OBA:1000106	skeletal tissue composition	UBERON:0004755	skeletal tissue	PATO:0000025	composition
OBA:1000107	testis position	UBERON:0000473	testis	PATO:0000140	position
OBA:1000108	hoof trait	UBERON:0008963	hoof	PATO:0000001	quality
OBA:1000109	anatomical pigmentation	UBERON:0000061	anatomical structure	PATO:0002247	degree of pigmentation
OBA:1000110	bone density	UBERON:0002481	bone tissue	PATO:0001019	mass density
OBA:1000111	adrenal gland size	UBERON:0002369	adrenal gland	PATO:0000117	size
OBA:1000112	tooth size	UBERON:0001091	calcareous tooth	PATO:0000117	size
OBA:1000113	incisor size	UBERON:0001098	incisor tooth	PATO:0000117	size
OBA:1000114	axon terminus orientation	GO:0043679	axon terminus	PATO:0000133	orientation
OBA:1000115	axon length	GO:0030424	axon	PATO:0000122	length
OBA:1000116	axon located in	GO:0030424	axon	PATO:0002261	located in
OBA:1000117	axon shape	GO:0030424	axon	PATO:0000052	shape
OBA:1000118	dendrite count	GO:0030425	dendrite	PATO:0000070	amount
OBA:1000119	dendrite thickness	GO:0030425	dendrite	PATO:0000915	thickness
OBA:1000120	axon orientation	GO:0030424	axon	PATO:0000133	orientation
OBA:1000121	dendrite orientation	GO:0030425	dendrite	PATO:0000133	orientation
OBA:1000122	dendrite shape	GO:0030425	dendrite	PATO:0000052	shape
OBA:1000123	dendrite size	GO:0030425	dendrite	PATO:0000117	size
OBA:1000124	blue iris	UBERON:0001769	iris	PATO:0000318	blue
OBA:1000125	brown strand of hair	UBERON:0001037	strand of hair	PATO:0000952	brown
OBA:1000126	dinoflagellate epicone length	GO:0097613	dinoflagellate epicone	PATO:0000122	length
OBA:1000127	dinoflagellate hypocone length	GO:0097614	dinoflagellate hypocone	PATO:0000122	length
OBA:1000128	eyespot apparatus color	GO:1990413	eyespot apparatus	PATO:0000014	color
OBA:1000129	cell color	CL:0000000	cell	PATO:0000014	color
OBA:1000130	nucleus diameter	GO:0005634	nucleus	PATO:0001334	diameter
OBA:1000131	eyespot apparatus located in	GO:1990413	eyespot apparatus	PATO:0002261	located in
OBA:1000132	dinoflagellate sulcal notch shape	GO:0097618	dinoflagellate sulcal notch	PATO:0000052	shape
OBA:1000133	dinoflagellate apex shape	GO:0097683	dinoflagellate apex	PATO:0000052	shape
OBA:1000134	dinoflagellate antapex shape	GO:0097684	dinoflagellate antapex	PATO:0000052	shape
OBA:1000135	dinoflagellate apical horn shape	GO:0097686	dinoflagellate apical horn	PATO:0000052	shape
OBA:1000136	dinoflagellate antapical horn shape	GO:0097687	dinoflagellate antapical horn	PATO:0000052	shape
OBA:1000137	endolymph volume	UBERON:0001852	endolymph	PATO:0000918	volume
OBA:1000138	bone element size	UBERON:0001474	bone element	PATO:0000117	size
OBA:1000139	skeletal joint flexibility	UBERON:0000982	skeletal joint	PATO:0001543	flexibility
OBA:1000140	epipubic bone size	UBERON:0013204	epipubic bone	PATO:0000117	size
OBA:1000141	epipubic bone mass density	UBERON:0013204	epipubic bone	PATO:0001019	mass density
OBA:1000142	vesicle size	GO:0031982	vesicle	PATO:0000117	size
OBA:1000143	lymphatic vessel size	UBERON:0001473	lymphatic vessel	PATO:0000117	size
OBA:1000144	lymphatic vessel permeability	UBERON:0001473	lymphatic vessel	PATO:0000970	permeability
OBA:1000145	lymphatic vessel quality	UBERON:0001473	lymphatic vessel	PATO:0000001	quality
OBA:1000146	endoplasmic reticulum membrane permeability	GO:0005789	endoplasmic reticulum membrane	PATO:0000970	permeability
OBA:VT0000000	mammary gland secreted fluid morphology trait	UBERON:0006539	mammary gland fluid/secretion	PATO:0000051	morphology
OBA:VT0000002	head size trait	UBERON:0000033	head	PATO:0000117	size
OBA:VT0000003	adipose morphology trait	UBERON:0001013	adipose tissue	PATO:0000051	morphology
OBA:VT0000005	right atrium size trait	UBERON:0002078	right cardiac atrium	PATO:0000117	size
OBA:VT0000006	esophagus size trait	UBERON:0001043	esophagus	PATO:0000117	size
OBA:VT0000010	abdominal fat pad morphology trait	UBERON:0003427	abdominal fat pad	PATO:0000051	morphology
OBA:VT0000012	left atrium size trait	UBERON:0002079	left cardiac atrium	PATO:0000117	size
OBA:VT0000013	adipose distribution trait	UBERON:0001013	adipose tissue	PATO:0000060	spatial pattern
OBA:VT0000017	outer ear size trait	UBERON:0001691	external ear	PATO:0000117	size
OBA:VT0000018	ventricle membranous septum morphology trait	UBERON:0004666	interventricular septum membranous part	PATO:0000051	morphology
OBA:VT0000019	right atrium morphology trait	UBERON:0002078	right cardiac atrium	PATO:0000051	morphology
OBA:VT0000020	left atrium morphology trait	UBERON:0002079	left cardiac atrium	PATO:0000051	morphology
OBA:VT0000022	outer ear shape trait	UBERON:0001691	external ear	PATO:0000052	shape
OBA:VT0000024	atrium appendage morphology trait	UBERON:0006618	atrium auricular region	PATO:0000051	morphology
OBA:VT0000025	atrioventricular valve morphology trait	UBERON:0002133	atrioventricular valve	PATO:0000051	morphology
OBA:VT0000026	inner ear morphology trait	UBERON:0001846	internal ear	PATO:0000051	morphology
OBA:VT0000027	head width	UBERON:0000033	head	PATO:0000921	width
OBA:VT0000028	pars superior vestibularis morphology trait	UBERON:0002825	superior part of vestibular ganglion	PATO:0000051	morphology
OBA:VT0000029	malleus morphology trait	UBERON:0001689	malleus bone	PATO:0000051	morphology
OBA:VT0000030	tympanic ring morphology trait	UBERON:0002218	tympanic ring	PATO:0000051	morphology
OBA:VT0000031	cochlea morphology trait	UBERON:0001844	cochlea	PATO:0000051	morphology
OBA:VT0000033	mitral valve morphology trait	UBERON:0002135	mitral valve	PATO:0000051	morphology
OBA:VT0000034	vestibule morphology trait	UBERON:0001349	vestibule	PATO:0000051	morphology
OBA:VT0000035	membranous labyrinth morphology trait	UBERON:0001849	membranous labyrinth	PATO:0000051	morphology
OBA:VT0000036	tricuspid valve morphology trait	UBERON:0002134	tricuspid valve	PATO:0000051	morphology
OBA:VT0000037	lateral semicircular canal morphology trait	UBERON:0001843	lateral semicircular canal	PATO:0000051	morphology
OBA:VT0000038	head length	UBERON:0000033	head	PATO:0000122	length
OBA:VT0000039	otic capsule morphology trait	UBERON:0004637	otic capsule	PATO:0000051	morphology
OBA:VT0000040	aortic valve morphology trait	UBERON:0002137	aortic valve	PATO:0000051	morphology
OBA:VT0000041	endolymphatic duct size trait	UBERON:0001860	endolymphatic duct	PATO:0000117	size
OBA:VT0000042	organ of Corti morphology trait	UBERON:0002227	spiral organ of cochlea	PATO:0000051	morphology
OBA:VT0000044	pulmonary valve morphology trait	UBERON:0002146	pulmonary valve	PATO:0000051	morphology
OBA:VT0000045	hair cell morphology trait	CL:0000855	sensory hair cell	PATO:0000051	morphology
OBA:VT0000046	sulcus ampullaris morphology trait	UBERON:0009038	sulcus ampullaris	PATO:0000051	morphology
OBA:VT0000047	head circumference	UBERON:0000033	head	PATO:0001648	circumference
OBA:VT0000048	stria vascularis morphology trait	UBERON:0002282	stria vascularis of cochlear duct	PATO:0000051	morphology
OBA:VT0000049	middle ear morphology trait	UBERON:0001756	middle ear	PATO:0000051	morphology
OBA:VT0000051	testes physiology trait	UBERON:0000473	testis	PATO:0001509	functionality
OBA:VT0000058	heart muscle compact layer morphology trait	UBERON:0004125	myocardial compact layer	PATO:0000051	morphology
OBA:VT0000061	cardiomyocyte morphology trait	CL:0000746	cardiac muscle cell	PATO:0000051	morphology
OBA:VT0000062	heart muscle trabeculae morphology trait	UBERON:0004124	myocardium trabecular layer	PATO:0000051	morphology
OBA:VT0000063	ventricle papillary muscle morphology trait	UBERON:0002494	papillary muscle of heart	PATO:0000051	morphology
OBA:VT0000065	medullary cavity morphology trait	UBERON:0002484	bone marrow cavity	PATO:0000051	morphology
OBA:VT0000072	bone elasticity trait	UBERON:0001474	bone element	PATO:0001031	elasticity
OBA:VT0000074	neurocranium morphology trait	UBERON:0001703	neurocranium	PATO:0000051	morphology
OBA:VT0000075	blood-brain barrier morphology trait	UBERON:0000120	blood brain barrier	PATO:0000051	morphology
OBA:VT0000076	calvaria morphology trait	UBERON:0004339	vault of skull	PATO:0000051	morphology
OBA:VT0000077	interparietal bone morphology trait	UBERON:0002229	interparietal bone	PATO:0000051	morphology
OBA:VT0000078	supraoccipital bone morphology trait	UBERON:0004747	supraoccipital bone	PATO:0000051	morphology
OBA:VT0000079	basilar bone morphology trait	UBERON:0001692	basioccipital bone	PATO:0000051	morphology
OBA:VT0000080	exoccipital bone morphology trait	UBERON:0001693	exoccipital bone	PATO:0000051	morphology
OBA:VT0000084	fontanelle morphology trait	UBERON:0002221	fontanelle	PATO:0000051	morphology
OBA:VT0000085	blood-cerebrospinal fluid barrier morphology trait	UBERON:0003210	blood-cerebrospinal fluid barrier	PATO:0000051	morphology
OBA:VT0000087	capillary morphology trait	UBERON:0001982	capillary	PATO:0000051	morphology
OBA:VT0000098	vomer bone morphology trait	UBERON:0002396	vomer	PATO:0000051	morphology
OBA:VT0000100	ethmoid bone morphology trait	UBERON:0001679	ethmoid bone	PATO:0000051	morphology
OBA:VT0000102	nasal bone morphology trait	UBERON:0001681	nasal bone	PATO:0000051	morphology
OBA:VT0000104	sphenoid bone morphology trait	UBERON:0001677	sphenoid bone	PATO:0000051	morphology
OBA:VT0000106	basisphenoid morphology trait	UBERON:0006428	basisphenoid bone	PATO:0000051	morphology
OBA:VT0000107	frontal bone morphology trait	UBERON:0000209	tetrapod frontal bone	PATO:0000051	morphology
OBA:VT0000109	parietal bone morphology trait	UBERON:0000210	tetrapod parietal bone	PATO:0000051	morphology
OBA:VT0000124	tooth quantity	UBERON:0001091	calcareous tooth	PATO:0001555	has number of
OBA:VT0000125	heart tube morphology trait	UBERON:0004141	heart tube	PATO:0000051	morphology
OBA:VT0000126	tooth strength trait	UBERON:0001091	calcareous tooth	PATO:0001230	strength
OBA:VT0000130	cancellous bone morphology trait	UBERON:0002483	trabecular bone tissue	PATO:0000051	morphology
OBA:VT0000131	long bone epiphysis morphology trait	UBERON:0001437	epiphysis	PATO:0000051	morphology
OBA:VT0000132	epiphysis width	UBERON:0001437	epiphysis	PATO:0000921	width
OBA:VT0000133	long bone metaphysis morphology trait	UBERON:0001438	metaphysis	PATO:0000051	morphology
OBA:VT0000134	compact bone thickness	UBERON:0001439	compact bone tissue	PATO:0000915	thickness
OBA:VT0000135	outflow tract morphology trait	UBERON:0004145	outflow tract	PATO:0000051	morphology
OBA:VT0000136	microglial cell morphology trait	CL:0000129	microglial cell	PATO:0000051	morphology
OBA:VT0000137	vertebra morphology trait	UBERON:0002412	vertebra	PATO:0000051	morphology
OBA:VT0000138	vertebra quantity	UBERON:0002412	vertebra	PATO:0001555	has number of
OBA:VT0000139	transverse process morphology trait	UBERON:0003109	parapophysis	PATO:0000051	morphology
OBA:VT0000140	pedicle morphology trait	UBERON:0001078	pedicle of vertebra	PATO:0000051	morphology
OBA:VT0000141	vertebral body morphology trait	UBERON:0001075	bony vertebral centrum	PATO:0000051	morphology
OBA:VT0000142	outer ear thickness	UBERON:0001691	external ear	PATO:0000915	thickness
OBA:VT0000149	scapula morphology trait	UBERON:0006849	scapula	PATO:0000051	morphology
OBA:VT0000150	rib morphology trait	UBERON:0002228	rib	PATO:0000051	morphology
OBA:VT0000152	proximal rib morphology trait	UBERON:0010388	proximal segment of rib	PATO:0000051	morphology
OBA:VT0000157	sternum morphology trait	UBERON:0000975	sternum	PATO:0000051	morphology
OBA:VT0000159	xiphoid process morphology trait	UBERON:0002207	xiphoid process	PATO:0000051	morphology
OBA:VT0000163	cartilage morphology trait	UBERON:0002418	cartilage tissue	PATO:0000051	morphology
OBA:VT0000165	hypertrophic chondrocyte zone morphology trait	UBERON:0006772	long bone epiphyseal plate hypertrophic zone	PATO:0000051	morphology
OBA:VT0000166	chondrocyte morphology trait	CL:0000138	chondrocyte	PATO:0000051	morphology
OBA:VT0000167	chondrocyte quantity	CL:0000138	chondrocyte	PATO:0001555	has number of
OBA:VT0000170	blood vessel physiology trait	UBERON:0001981	blood vessel	PATO:0001509	functionality
OBA:VT0000171	blood physiology trait	UBERON:0000178	blood	PATO:0001509	functionality
OBA:VT0000173	lymph vessel physiology trait	UBERON:0001473	lymphatic vessel	PATO:0001509	functionality
OBA:VT0000174	lymph physiology trait	UBERON:0002391	lymph	PATO:0001509	functionality
OBA:VT0000182	blood flow trait	UBERON:0000178	blood	PATO:0001574	flow rate
OBA:VT0000183	blood pressure trait	UBERON:0000178	blood	PATO:0001025	pressure
OBA:VT0000187	triglyceride amount	CHEBI:17855	triglyceride	PATO:0000070	amount
OBA:VT0000190	blood vessel permeability trait	UBERON:0001981	blood vessel	PATO:0000970	permeability
OBA:VT0000192	mineral amount	CHEBI:46662	mineral	PATO:0000070	amount
OBA:VT0000217	leukocyte quantity	CL:0000738	leukocyte	PATO:0000070	amount
OBA:VT0000222	neutrophil quantity	CL:0000775	neutrophil	PATO:0000070	amount
OBA:VT0000223	monocyte quantity	CL:0000576	monocyte	PATO:0000070	amount
OBA:VT0000237	blood cell quantity	CL:0000988	hematopoietic cell	PATO:0001555	has number of
OBA:VT0000240	hematopoiesis location trait	GO:0030097	hemopoiesis	PATO:0000140	position
OBA:VT0000248	erythrocyte size trait	CL:0000232	erythrocyte	PATO:0000117	size
OBA:VT0000254	cerebrospinal fluid amount	UBERON:0001359	cerebrospinal fluid	PATO:0000918	volume
OBA:VT0000259	capillary permeability trait	UBERON:0001982	capillary	PATO:0000970	permeability
OBA:VT0000266	heart morphology trait	UBERON:0000948	heart	PATO:0000051	morphology
OBA:VT0000268	vibrissa quantity	UBERON:0001037	strand of hair	PATO:0000070	amount
OBA:VT0000272	aorta morphology trait	UBERON:0000947	aorta	PATO:0000051	morphology
OBA:VT0000277	heart shape trait	UBERON:0000948	heart	PATO:0000052	shape
OBA:VT0000285	heart valve morphology trait	UBERON:0000946	cardial valve	PATO:0000052	shape
OBA:VT0000288	pericardium morphology trait	UBERON:0002407	pericardium	PATO:0000051	morphology
OBA:VT0000319	endolymph physiology trait	UBERON:0001852	endolymph	PATO:0001509	functionality
OBA:VT0000334	granulocyte quantity	CL:0000094	granulocyte	PATO:0001555	has number of
OBA:VT0000336	mast cell quantity	CL:0000097	mast cell	PATO:0001555	has number of
OBA:VT0000340	perilymph physiology trait	UBERON:0001845	perilymph	PATO:0001509	functionality
OBA:VT0000341	bile color	UBERON:0001970	bile	PATO:0000014	color
OBA:VT0000344	Cajal-Retzius cell morphology trait	CL:0000695	Cajal-Retzius cell	PATO:0000051	morphology
OBA:VT0000353	vestibular system physiology trait	UBERON:0004681	vestibular system	PATO:0001509	functionality
