subject_id	subject_match_field	subject_label	match_type	quality	quality_label	attribute	attribute_label
VT:0002572	rdfs:label	emotion/affect behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0010251	rdfs:label	hemolymphoid system development quality	Lexical	PATO:0000001	quality	UBERON:0002193	hemolymphoid system
VT:0000675	rdfs:label	palmar eccrine gland morphology quality	Lexical	PATO:0000051	morphology	UBERON:0002530	gland
VT:0003905	rdfs:label	aorta elastin amount	Lexical	PATO:0000070	amount	UBERON:0000947	aorta
VT:0010361	rdfs:label	milk fatty acid trans-11,trans-13-c18:2 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010361	rdfs:label	milk fatty acid trans-11,trans-13-c18:2 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0000060	rdfs:label	ossification initiation quality	Lexical	PATO:0000001	quality	GO:0001503	ossification
VT:0010369	rdfs:label	milk fatty acid c18:3(n-3) amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010369	rdfs:label	milk fatty acid c18:3(n-3) amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0004428	rdfs:label	type i vestibular cell morphology quality	Lexical	PATO:0010006	cell morphology	CL:0000000	cell
VT:0004428	rdfs:label	type i vestibular cell morphology quality	Lexical	PATO:0000051	morphology	CL:0000000	cell
VT:0010472	rdfs:label	compulsivity behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0008555	rdfs:label	interferon secretion quality	Lexical	PATO:0000001	quality	GO:0046903	secretion
VT:0010217	rdfs:label	jejunum crypt of lieberkuhn depth	Lexical	PATO:0001595	depth	UBERON:0002115	jejunum
VT:0010217	rdfs:label	jejunum crypt of lieberkuhn depth	Lexical	PATO:0001595	depth	UBERON:0001983	crypt of Lieberkuhn
VT:0000007	rdfs:label	mammary gland growth quality	Lexical	PATO:0000001	quality	UBERON:0001911	mammary gland
VT:0000007	rdfs:label	mammary gland growth quality	Lexical	PATO:0000001	quality	GO:0040007	growth
VT:0010582	rdfs:label	blood sterol amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010980	rdfs:label	blood l-lysine amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0008665	rdfs:label	interleukin-12a secretion quality	Lexical	PATO:0000001	quality	GO:0046903	secretion
VT:0010327	rdfs:label	milk fatty acid cis-11-c16:1 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010327	rdfs:label	milk fatty acid cis-11-c16:1 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0002272	rdfs:label	nervous system electrophysiology quality	Lexical	PATO:0000001	quality	UBERON:0001016	nervous system
VT:0008497	rdfs:label	blood immunoglobulin g2b amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0000944	rdfs:label	cochlear outer hair cell afferent innervation morphology quality	Lexical	PATO:0000051	morphology	CL:0000601	cochlear outer hair cell
VT:0000944	rdfs:label	cochlear outer hair cell afferent innervation morphology quality	Lexical	PATO:0000051	morphology	GO:0060384	innervation
VT:0010710	rdfs:label	milk copper amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0001323	rdfs:label	inner hair cell stereocilia size quality	Lexical	PATO:0000117	size	UBERON:0001037	hair
VT:0001323	rdfs:label	inner hair cell stereocilia size quality	Lexical	PATO:0000117	size	CL:0000000	cell
VT:0002230	rdfs:label	primitive streak development quality	Lexical	PATO:0000001	quality	UBERON:0004341	primitive streak
VT:0010919	rdfs:label	feces bile acid amount	Lexical	PATO:0000070	amount	UBERON:0001988	feces
VT:0010919	rdfs:label	feces bile acid amount	Lexical	PATO:0000070	amount	UBERON:0001970	bile
VT:0003463	rdfs:label	single cell response quality	Lexical	PATO:0000001	quality	CL:0000000	cell
VT:0010820	rdfs:label	comb mass	Lexical	PATO:0000125	mass	UBERON:0012176	comb
VT:0010973	rdfs:label	blood l-proline amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010190	rdfs:label	basophil development quality	Lexical	PATO:0000001	quality	CL:0000767	basophil
VT:0009340	rdfs:label	splenocyte apoptosis quality	Lexical	PATO:0000001	quality	CL:2000074	splenocyte
VT:0001028	rdfs:label	cochlear outer hair cell stereociliary bundle morphology quality	Lexical	PATO:0000051	morphology	CL:0000601	cochlear outer hair cell
VT:0002871	rdfs:label	urine albumin amount	Lexical	PATO:0000070	amount	UBERON:0001088	urine
VT:0007084	rdfs:label	heart ventricle septum configuration quality	Lexical	PATO:0000001	quality	UBERON:0003037	septum
VT:0007084	rdfs:label	heart ventricle septum configuration quality	Lexical	PATO:0000001	quality	UBERON:0002082	heart ventricle
VT:0010530	rdfs:label	cued fear conditioning behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0010749	rdfs:label	heart blood pressure quality	Lexical	PATO:0001025	pressure	UBERON:0000948	heart
VT:0010749	rdfs:label	heart blood pressure quality	Lexical	PATO:0001025	pressure	UBERON:0000178	blood
VT:0010640	rdfs:label	thoracic aorta integrity quality	Lexical	PATO:0000001	quality	UBERON:0001515	thoracic aorta
VT:0010859	rdfs:label	forebrain norepinephrine amount	Lexical	PATO:0000070	amount	UBERON:0001890	forebrain
VT:0010793	rdfs:label	kidney ribonucleic acid amount	Lexical	PATO:0000070	amount	UBERON:0002113	kidney
VT:0003090	rdfs:label	muscle progenitor cell migration quality	Lexical	PATO:0000001	quality	CL:0011026	progenitor cell
VT:0003090	rdfs:label	muscle progenitor cell migration quality	Lexical	PATO:0000001	quality	GO:0014812	muscle cell migration
VT:1000643	rdfs:label	sperm production quality	Lexical	PATO:0000001	quality	CL:0000019	sperm
VT:0010490	rdfs:label	aorta blood flow quality	Lexical	PATO:0000001	quality	UBERON:0000947	aorta
VT:0010490	rdfs:label	aorta blood flow quality	Lexical	PATO:0000001	quality	UBERON:0000178	blood
VT:0010702	rdfs:label	blood lipoprotein particle size	Lexical	PATO:0000117	size	UBERON:0000178	blood
VT:0010812	rdfs:label	heart left ventricle interstitial norepinephrine amount	Lexical	PATO:0000366	left	UBERON:0000948	heart
VT:0010812	rdfs:label	heart left ventricle interstitial norepinephrine amount	Lexical	PATO:0000070	amount	UBERON:0000948	heart
VT:0010861	rdfs:label	medulla oblongata serotonin amount	Lexical	PATO:0000070	amount	UBERON:0001896	medulla oblongata
VT:0010011	rdfs:label	femur mineral mass	Lexical	PATO:0000125	mass	UBERON:0000981	femur
VT:0010904	rdfs:label	tissue oxygen amount	Lexical	PATO:0000070	amount	UBERON:0000479	tissue
VT:0006227	rdfs:label	iris development quality	Lexical	PATO:0000001	quality	UBERON:0001769	iris
VT:0006281	rdfs:label	tail development quality	Lexical	PATO:0000001	quality	UBERON:2001058	tail
VT:0002174	rdfs:label	gastrulation movement quality	Lexical	PATO:0001906	movement quality	GO:0007369	gastrulation
VT:0010764	rdfs:label	liver lipid amount	Lexical	PATO:0000070	amount	UBERON:0002107	liver
VT:0002115	rdfs:label	skeleton extremities morphology quality	Lexical	PATO:0000051	morphology	UBERON:0004288	skeleton
VT:0010632	rdfs:label	carbohydrate metabolism quality	Lexical	PATO:0000001	quality	GO:0008152	metabolism
VT:0010211	rdfs:label	duodenum crypt of lieberkuhn width	Lexical	PATO:0000921	width	UBERON:0002114	duodenum
VT:0010211	rdfs:label	duodenum crypt of lieberkuhn width	Lexical	PATO:0000921	width	UBERON:0001983	crypt of Lieberkuhn
VT:0015101	rdfs:label	proprioception system quality	Lexical	PATO:0000001	quality	GO:0019230	proprioception
VT:0010474	rdfs:label	blood non-hdl cholesterol amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010757	rdfs:label	heart integrity quality	Lexical	PATO:0000001	quality	UBERON:0000948	heart
VT:0010584	rdfs:label	liver sterol amount	Lexical	PATO:0000070	amount	UBERON:0002107	liver
VT:0008498	rdfs:label	blood immunoglobulin g3 amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010686	rdfs:label	blood calcidiol amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0000540	rdfs:label	urinary bladder epithelium morphology quality	Lexical	PATO:0000051	morphology	UBERON:0000483	epithelium
VT:0000540	rdfs:label	urinary bladder epithelium morphology quality	Lexical	PATO:0000051	morphology	UBERON:0001255	urinary bladder
VT:0003830	rdfs:label	testis development quality	Lexical	PATO:0000001	quality	UBERON:0000473	testis
VT:0010923	rdfs:label	cerebral cortex integrity quality	Lexical	PATO:0000001	quality	UBERON:0000956	cerebral cortex
VT:0001328	rdfs:label	retinal layer organization quality	Lexical	PATO:0002264	organization quality	UBERON:0001781	retinal layer
VT:0010314	rdfs:label	milk fatty acid c12:0 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010314	rdfs:label	milk fatty acid c12:0 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010840	rdfs:label	cervical spinal cord dihyroxyphenylacetic acid (dopac) amount	Lexical	PATO:0000070	amount	UBERON:0002726	cervical spinal cord
VT:0001450	rdfs:label	vestibular hair bundle inter-stereocilial link morphology quality	Lexical	PATO:0000051	morphology	UBERON:0001037	hair
VT:0010577	rdfs:label	spinal cord molecular composition quality	Lexical	PATO:0000025	composition	UBERON:0002240	spinal cord
VT:1000684	rdfs:label	total heart ventricle mass	Lexical	PATO:0000125	mass	UBERON:0002082	heart ventricle
VT:0010249	rdfs:label	blood cell physiology quality	Lexical	PATO:0000001	quality	CL:0000081	blood cell
VT:0010249	rdfs:label	blood cell physiology quality	Lexical	PATO:0000001	quality	GO:0009987	cell physiology
VT:0000501	rdfs:label	digestive secretion quality	Lexical	PATO:0000001	quality	GO:0046903	secretion
VT:0010743	rdfs:label	blood cystatin c amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010027	rdfs:label	milk fatty acid c24:0 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010027	rdfs:label	milk fatty acid c24:0 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010853	rdfs:label	hypothalamus 5-hydroxyindoleacetic acid amount	Lexical	PATO:0000070	amount	UBERON:0001898	hypothalamus
VT:0004771	rdfs:label	blood anti-single stranded dna antibody amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0004771	rdfs:label	blood anti-single stranded dna antibody amount	Lexical	PATO:0000070	amount	GO:0042571	antibody
VT:0009332	rdfs:label	splenocyte morphology quality	Lexical	PATO:0000051	morphology	CL:2000074	splenocyte
VT:0000154	rdfs:label	lymph circulatory physiology quality	Lexical	PATO:0000001	quality	UBERON:0002391	lymph
VT:0000713	rdfs:label	reichert's cartilage development quality	Lexical	PATO:0000001	quality	UBERON:0004368	Reichert's cartilage
VT:0004153	rdfs:label	kidney tubule apoptosis quality	Lexical	PATO:0000001	quality	UBERON:0001231	kidney tubule
VT:0010397	rdfs:label	milk fat globule-egf factor 8 protein amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010695	rdfs:label	blood ghrelin amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0000976	rdfs:label	hair guard cell innervation pattern quality	Lexical	PATO:0000001	quality	UBERON:0001037	hair
VT:0000976	rdfs:label	hair guard cell innervation pattern quality	Lexical	PATO:0000001	quality	CL:0000000	cell
VT:0000976	rdfs:label	hair guard cell innervation pattern quality	Lexical	PATO:0000001	quality	GO:0060384	innervation
VT:0010978	rdfs:label	blood l-leucine amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010563	rdfs:label	hindlimb integrity quality	Lexical	PATO:0000001	quality	UBERON:0002103	hindlimb
VT:0005275	rdfs:label	skin tensile strength quality	Lexical	PATO:0001230	strength	UBERON:0000014	skin
VT:0000616	rdfs:label	palatine gland ductal branching morphology quality	Lexical	PATO:0000051	morphology	UBERON:0002447	palatine gland
VT:0010306	rdfs:label	milk fatty acid c4:0 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010306	rdfs:label	milk fatty acid c4:0 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010355	rdfs:label	milk fatty acid trans-11,cis-13-c18:2 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010355	rdfs:label	milk fatty acid trans-11,cis-13-c18:2 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0001898	rdfs:label	long-term synaptic depression quality	Lexical	PATO:0000001	quality	GO:0060292	long-term synaptic depression
VT:0010846	rdfs:label	medulla oblongata homovanillic acid amount	Lexical	PATO:0000070	amount	UBERON:0001896	medulla oblongata
VT:0010260	rdfs:label	colostrum immunoglobulin m amount	Lexical	PATO:0000070	amount	UBERON:0001914	colostrum
VT:0000050	rdfs:label	pancreas/salivary gland morphology quality	Lexical	PATO:0000051	morphology	UBERON:0002530	gland
VT:0010370	rdfs:label	milk fatty acid c20:2 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010370	rdfs:label	milk fatty acid c20:2 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010790	rdfs:label	adrenal gland ribonucleic acid amount	Lexical	PATO:0000070	amount	UBERON:0002369	adrenal gland
VT:0010804	rdfs:label	uterus molecular composition quality	Lexical	PATO:0000025	composition	UBERON:0000995	uterus
VT:0010631	rdfs:label	amino acid metabolism quality	Lexical	PATO:0000001	quality	GO:0008152	metabolism
VT:0010258	rdfs:label	colostrum immunoglobulin a amount	Lexical	PATO:0000070	amount	UBERON:0001914	colostrum
VT:0010462	rdfs:label	defecation behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0010462	rdfs:label	defecation behavior quality	Lexical	PATO:0000001	quality	GO:0030421	defecation
VT:0010784	rdfs:label	blood oxygen amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010798	rdfs:label	spleen molecular composition quality	Lexical	PATO:0000025	composition	UBERON:0002106	spleen
VT:0003095	rdfs:label	corneal stroma development quality	Lexical	PATO:0000001	quality	UBERON:0001777	corneal stroma
VT:0010368	rdfs:label	milk fatty acid c22:6(n-3) amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010368	rdfs:label	milk fatty acid c22:6(n-3) amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010894	rdfs:label	colon molecular composition quality	Lexical	PATO:0000025	composition	UBERON:0001155	colon
VT:0010707	rdfs:label	kidney malondialdehyde amount	Lexical	PATO:0000070	amount	UBERON:0002113	kidney
VT:0010817	rdfs:label	comb length	Lexical	PATO:0000122	length	UBERON:0012176	comb
VT:0010141	rdfs:label	optic nerve fiber organization quality	Lexical	PATO:0002264	organization quality	UBERON:0006134	nerve fiber
VT:0010624	rdfs:label	blood superoxide dismutase amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010909	rdfs:label	blood ceruloplasmin amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0005196	rdfs:label	posterior uvea morphology quality	Lexical	PATO:0000051	morphology	UBERON:0001776	posterior uvea
VT:0010887	rdfs:label	blood bradykinin amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0001752	rdfs:label	secretion by hypothalamus quality	Lexical	PATO:0000001	quality	UBERON:0001898	hypothalamus
VT:0001752	rdfs:label	secretion by hypothalamus quality	Lexical	PATO:0000001	quality	GO:0046903	secretion
VT:2000006	rdfs:label	renal blood flow quality	Lexical	PATO:0000001	quality	UBERON:0000178	blood
VT:0010637	rdfs:label	energy metabolism quality	Lexical	PATO:0001021	energy	GO:0008152	metabolism
VT:0000195	rdfs:label	blood vessel reactivity quality	Lexical	PATO:0000001	quality	UBERON:0001981	blood vessel
VT:0010243	rdfs:label	reticulo-rumen epithelium thickness	Lexical	PATO:0000915	thickness	UBERON:0000483	epithelium
VT:0010748	rdfs:label	stereotypic behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0004762	rdfs:label	blood anti-double stranded dna antibody amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0004762	rdfs:label	blood anti-double stranded dna antibody amount	Lexical	PATO:0000070	amount	GO:0042571	antibody
VT:0010347	rdfs:label	milk fatty acid trans-11,trans-15-c18:2 amount	Lexical	PATO:0000070	amount	UBERON:0001913	milk
VT:0010347	rdfs:label	milk fatty acid trans-11,trans-15-c18:2 amount	Lexical	PATO:0002114	fatty	UBERON:0001913	milk
VT:0010616	rdfs:label	blood lactate amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010157	rdfs:label	cochlear inner hair cell efferent nerve fiber organization quality	Lexical	PATO:0002264	organization quality	UBERON:0006134	nerve fiber
VT:0010157	rdfs:label	cochlear inner hair cell efferent nerve fiber organization quality	Lexical	PATO:0002264	organization quality	UBERON:0006798	efferent nerve
VT:0010157	rdfs:label	cochlear inner hair cell efferent nerve fiber organization quality	Lexical	PATO:0002264	organization quality	CL:0000589	cochlear inner hair cell
VT:0010560	rdfs:label	pancreas integrity quality	Lexical	PATO:0000001	quality	UBERON:0001264	pancreas
VT:0010955	rdfs:label	pulmonary arteriole morphology quality	Lexical	PATO:0000051	morphology	UBERON:0001980	arteriole
VT:0008643	rdfs:label	blood interleukin-12a amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010818	rdfs:label	comb height	Lexical	PATO:0000119	height	UBERON:0012176	comb
VT:0005100	rdfs:label	choroid pigmentation quality	Lexical	PATO:0000001	quality	UBERON:0001776	choroid
VT:0005100	rdfs:label	choroid pigmentation quality	Lexical	PATO:0000001	quality	GO:0043473	pigmentation
VT:0010568	rdfs:label	thoracic aorta molecular composition quality	Lexical	PATO:0000025	composition	UBERON:0001515	thoracic aorta
VT:0010913	rdfs:label	kidney tubule molecule reabsorption quality	Lexical	PATO:0000001	quality	UBERON:0001231	kidney tubule
VT:0000263	rdfs:label	capillary blood flow quality	Lexical	PATO:0000001	quality	UBERON:0013757	capillary blood
VT:0015015	rdfs:label	depression-related behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0010408	rdfs:label	bulbourethral gland physiology quality	Lexical	PATO:0000001	quality	UBERON:0002366	bulbourethral gland
VT:0003449	rdfs:label	intestinal goblet cell morphology quality	Lexical	PATO:0010006	cell morphology	CL:0019031	intestinal goblet cell
VT:0003449	rdfs:label	intestinal goblet cell morphology quality	Lexical	PATO:0000051	morphology	CL:0019031	intestinal goblet cell
VT:0010207	rdfs:label	duodenum muscle thickness	Lexical	PATO:0000915	thickness	UBERON:0002114	duodenum
VT:0002443	rdfs:label	eosinophil development quality	Lexical	PATO:0000001	quality	CL:0000771	eosinophil
VT:0010733	rdfs:label	trigeminal nerve integrity quality	Lexical	PATO:0000001	quality	UBERON:0001645	trigeminal nerve
VT:0008760	rdfs:label	immunoglobulin heavy chain v(d)j recombination quality	Lexical	PATO:0000582	heavy	GO:0033151	V(D)J recombination
VT:0001379	rdfs:label	penile erection physiology quality	Lexical	PATO:0000001	quality	GO:0043084	penile erection
VT:0010837	rdfs:label	tissue norepinephrine amount	Lexical	PATO:0000070	amount	UBERON:0000479	tissue
VT:0008719	rdfs:label	neutrophil recruitment quality	Lexical	PATO:0000001	quality	CL:0000775	neutrophil
VT:0010881	rdfs:label	blood oxidized ldl amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010881	rdfs:label	blood oxidized ldl amount	Lexical	PATO:0002223	oxidized	UBERON:0000178	blood
VT:0010929	rdfs:label	arteriole morphology quality	Lexical	PATO:0000051	morphology	UBERON:0001980	arteriole
VT:0010443	rdfs:label	cerebrospinal fluid homeostasis quality	Lexical	PATO:0000001	quality	UBERON:0001359	cerebrospinal fluid
VT:0010443	rdfs:label	cerebrospinal fluid homeostasis quality	Lexical	PATO:0000001	quality	GO:0042592	homeostasis
VT:0010553	rdfs:label	tongue integrity quality	Lexical	PATO:0000001	quality	UBERON:0001723	tongue
VT:0004291	rdfs:label	conductive hearing physiology quality	Lexical	PATO:0000001	quality	GO:0007605	hearing
VT:0015024	rdfs:label	allogrooming behavior quality	Lexical	PATO:0000001	quality	GO:0007610	behavior
VT:0010996	rdfs:label	blood 3-hydroxybutyrate amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010739	rdfs:label	skin chloride amount	Lexical	PATO:0000070	amount	UBERON:0000014	skin
VT:0004067	rdfs:label	heart ventricle trabeculae morphology quality	Lexical	PATO:0000051	morphology	UBERON:0000440	trabeculae
VT:0004067	rdfs:label	heart ventricle trabeculae morphology quality	Lexical	PATO:0000051	morphology	UBERON:0002082	heart ventricle
VT:0003202	rdfs:label	neuron apoptosis quality	Lexical	PATO:0000001	quality	CL:0000540	neuron
VT:0010822	rdfs:label	blood inhibin amount	Lexical	PATO:0000070	amount	UBERON:0000178	blood
VT:0010822	rdfs:label	blood inhibin amount	Lexical	PATO:0000070	amount	GO:0016916	inhibin
VT:0010559	rdfs:label	kidney renin amount	Lexical	PATO:0000070	amount	UBERON:0002113	kidney
VT:0010562	rdfs:label	forelimb integrity quality	Lexical	PATO:0000001	quality	UBERON:0002102	forelimb
VT:0006097	rdfs:label	cerebellum lobule development quality	Lexical	PATO:0000001	quality	UBERON:0009911	lobule
VT:0006097	rdfs:label	cerebellum lobule development quality	Lexical	PATO:0000001	quality	UBERON:0004004	cerebellum lobule
VT:0015056	rdfs:label	cloaca respiration quality	Lexical	PATO:0000001	quality	UBERON:0000162	cloaca
VT:0010845	rdfs:label	cervical spinal cord homovanillic acid amount	Lexical	PATO:0000070	amount	UBERON:0002726	cervical spinal cord
